sku,title,category,price_inr,image_url,spike_notes
KC-001,Coca Cola Keychain,Keychains,199,https://theproductlab.in/wp-content/uploads/2024/05/Coca-cola-keychains.jpg,Real catalog SKU for spike import
KC-002,Suck It Keychain,Keychains,199,https://theproductlab.in/wp-content/uploads/2024/05/Suck-it-keychains.jpg,Real catalog SKU for spike import
KC-003,Always Tired Keychain,Keychains,199,https://theproductlab.in/wp-content/uploads/2024/05/Always-tired-key-chain-keychains-1.jpg,Real catalog SKU for spike import
KC-004,Girl Power Keychain,Keychains,199,https://theproductlab.in/wp-content/uploads/2024/05/Girl-Power-keychains.jpg,Real catalog SKU for spike import
KC-005,HIMYM Keychain,Keychains,199,https://theproductlab.in/wp-content/uploads/2024/05/HIMYM-keychains.jpg,Real catalog SKU for spike import
ER-001,Less Panic More Disco Earrings,Earrings,199,https://theproductlab.in/wp-content/uploads/2024/06/Less-Panic-More-Disco-earrings-Earings.png,Real catalog SKU for spike import
ER-002,Ice Cream Love Bites Earrings,Earrings,199,https://theproductlab.in/wp-content/uploads/2024/05/Ice-Cream-Love-bites-earrings-scaled.jpg,Real catalog SKU for spike import
LP-001,Nike Air Red Offwhite Lapel Pin,Lapel Pins,149,https://theproductlab.in/wp-content/uploads/2024/05/nike-keychain-6.jpg,Flag IP/licensing before production launch
FM-001,Arsenal Fridge Magnet,Fridge Magnets,225,https://theproductlab.in/wp-content/uploads/2024/05/Arsenal-magnet.jpg,Flag IP/licensing before production launch
CS-001,Cartoon Network Card Sticker,Card Stickers,149,https://theproductlab.in/wp-content/uploads/2024/05/Cartoon-network-CARD-STICKER.jpg,Flag IP/licensing before production launch
